Question,Category
when was washington elected president,answering
where is the island New Guinea?,answering
what is in milk,answering
What is motorcycle speedway racing,answering
what is customary at shiva,answering
who is the guy in the wheelchair who is smart,answering
what is in a hot toddy,answering
what is honey bee propolis,answering
when was steven tyler born,answering
what is name of national anthem song of switzerland,answering
what is blood urea,answering
where are the most concentration of jews living,answering
what is corpus christi holiday,answering
who was the first european in the americas,answering
where is testosterone produced,answering
what is the difference between multistage and cluster sampling,answering
where is jamestown north carolina,answering
what is cu the element,answering
what was the parthenon used for,answering
what is stepwise linear regression,answering
when was jamestown colonized,answering
what was the first year of kentucky derby,answering
who is on the $10. bill,answering
when was andy griffith born,answering
what is the definition of a hung jury,answering
who is norah jones parents,answering
what is the capacity of the cowboy stadium,answering
what is Carbon 14 dating is a type of ?,answering
what is the color puce,answering
when was the battle at tombstone fought,answering
where was jfk buried,answering
what is the population of algoma wi for 2010,answering
what is renaissance english,answering
Who is the husband of Betty Ford,answering
what was Coco Chanel's real first name?,answering
what is grist mill stone,answering
who is Dr. JB Danquah,answering
where is big pokey from,answering
what is baklava recipe,answering
what is the rule of the 9s,answering
where  is kj 52 from,answering
what is the sign for degrees,answering
what is the prognosis of stomach cancer,answering
who is carlos pena on big time rush,answering
what is el mate,answering
what is dave batista doing now,answering
WHO IS HENRY SAMPSON JR.,answering
where is the arctic circle located on the earth,answering
what is the erb/heart,answering
when was pokemon first started,answering
where are colors on stoplight,answering
what is the fundamental theorem of calculus used for,answering
what is nicki minaj real name,answering
what is the disease osteonecrosis of the jaw?,answering
what is mincemeat made of,answering
who is suicide tna,answering
where is hickory located nc,answering
what is Polyester in packaging PET,answering
what was the GE building in rockefeller plaza called before.,answering
who are the two senators of louisiana,answering
who is director jack smight,answering
what is dmitri mendeleev 4,answering
where is modesto california,answering
what is the female symbol called,answering
who is st patty?,answering
what is leasehold; real estate,answering
when was Mary Anderson born,answering
WHO WAS IN THE MOVIE I CONFESS WITH MONTGOMERY CLIFT,answering
WHAT IS THE LENGTH OF A NAUTICAL MILE,answering
what is black hairy tongue disease,answering
what is firewire used for,answering
when was srv born,answering
what is stent surgery,answering
what is ethernet gigabit,answering
where is the tibia location,answering
what is tofu made of,answering
Where is Bubbles the Chimp now,answering
what is muse's lead singer's name,answering
where is bloemfontein in africa,answering
What is the prostate for?,answering
what is in the preamble of the constitution,answering
when was the internet started,answering
where is rolling rock brewed,answering
when was Pope Benedict XVI elected?,answering
Who was John Adam's children,answering
who was on the 10 dollar bill,answering
what is water jet propulsion,answering
where is the sermon on the mount in the bible,answering
who is E from entourage,answering
what is article 5 about,answering
what is the political tea party,answering
what is puerto rico currency,answering
What is the function of albumin?,answering
who is ezekiel in the bible,answering
where are the ten commandments in the bible,answering
what is endodontic dentistry,answering
who is the junior senator of nc,answering
who is heisman trophy named after,answering
what is sado masochism,answering
where are Giant Panda Bears found?,answering
where is loxahatchee fl at,answering
what is the format of the canadian citizenship test,answering
what is chicken chow mein,answering
What is up with Kent Hovind,answering
what is the oath of allegiance of the united states,answering
what is that dot on the forehead of indian women\,answering
where is good morning america studio,answering
what is primary medicine,answering
where is Desmanthus Illinoensis found,answering
when was the first super bowl,answering
what is the origin of fiona,answering
what is the official language of america?,answering
what is auto quarter panel,answering
"where is shropshire, uk",answering
when was pearl harbor bombed,answering
what is the la tour de france,answering
what is the social norm approach?,answering
what is associates arts degree,answering
what is vat tax?,answering
what is high sticking in hockey,answering
what is an sd memory card reader,answering
"What was Captain Ahab's Ship in the novel ""Moby Dick""",answering
when was the trogan war,answering
where is the palatine canal,answering
what is the lowest temperature ever recorded in antarctica,answering
what is oregon institute of technology like,answering
When Is Passover Over,answering
when is halley's comet next,answering
what is soy made from,answering
what is linkedin used for,answering
"WHERE IS ROUGH AND READY, CA",answering
where is rashard lewis from???,answering
what is doxycycline hyclate used for,answering
what is sodium hypochlorite solution,answering
what is captcha code,answering
when was jacques cousteau born,answering
where was the fugitive slave law made,answering
who is in the group trinity 5 7,answering
what is eic earned income credit,answering
when is international men's day,answering
where is valley village ca,answering
What is sign of cancer,answering
when was the patriot act enacted,answering
when was the tacoma bridge collapse?,answering
what is brown flax,answering
what is a gsm cell phone,answering
what was the cash and carry lend lease,answering
what is el morro in puerto rico,answering
where are poison dart frog seen,answering
where were the Winter Olympics in 2006,answering
when was the lady gaga judas song released,answering
what is mpeg4  avc or sp/asp,answering
WHAT IS NON BINDING?,answering
who was mr big on sex and the city,answering
what is the actresses name that played in walk that line?,answering
what is the definition of a map,answering
where is university of nelson mandela metropolitan located,answering
when was How the west was won filmed?,answering
who is on blink 182 album cover,answering
What is the name of the late Major League  old professor,answering
when was the constitution written,answering
what is the use of a sales invoice?,answering
what was the actress who played the pink power ranger,answering
what is squash the sport,answering
where is the world cup in 2010,answering
when was the great fire in chicago,answering
what is hosting a website,answering
when was the first nfl madden game released,answering
what is pci Interface,answering
what is jagger bombs,answering
what is the name of mountains along california,answering
who is the author of tree grows in brooklyn,answering
where is al jazeera based,answering
what is the purpose of child support?,answering
where was martin luther king shot?,answering
who is the mayor of chicago 2011,answering
when is the wv state fair,answering
when was the state of utah established,answering
what is the location of coldwater ms,answering
what is the function of the hard palate,answering
where is Chayanne from?,answering
when is world war hulk movie come,answering
WHERE WAS JOHN WAYNE BORN,answering
what is the difference between alpha lipoic acid and lipoic acid,answering
what is the organic layer in an amoled screen,answering
what is eggnog made of,answering
what is gravy made of,answering
what is bourbon made of,answering
what is cta used for,answering
what is vitamin b12 used for,answering
What is the the North American Free Trade Agreement?,answering
what is tmz stand for,answering
what is impingement of the shoulder,answering
where is La Palma africa,answering
where was hillary clinton born,answering
who was the first one to invent medicine,answering
When was 27th amendment proposed,answering
what is singapore's currency,answering
Who was Daniel J Daly?,answering
where was paul revere born,answering
what is the plot of the shawshank redemption?,answering
what is an information technology manager,answering
what is the scientific name of a cardinal bird,answering
where are kenworth trucks built,answering
what is the type of democracy in which all citizens have the right to make  government decisions,answering
when is the feast of St. Rita,answering
where is j.cole from,answering
what is ratchet from ratchet and clank,answering
where was the first real roller coaster,answering
what is in a will,answering
what is the gdp for greenland 2010?,answering
What is hydrogen in,answering
where is UWA on world list of universities,answering
what is bracketing in photography,answering
What is the disk defragmenter tool,answering
what is level of agreement mean,answering
when was purple haze by jimi hendrix made?,answering
where was martin luther born,answering
who is the actor that plays harry potter,answering
"what is the concept of ""wellness"" ?",answering
what is the mortality rate of sepsis,answering
where is kos from?,answering
what is the defensive line in football called,answering
what is the measurements of saturn's moons,answering
what is the @ sign called?,answering
who is the book the catcher in the rye by?,answering
who are the girls from the bad girls club?,answering
what is prince williams last name,answering
what is IBRIX,answering
what is bilirubin total,answering
what was bernie madoff selling,answering
what is quasi judicial agency,answering
who is inventor of the radio,answering
who is the founder of twitter,answering
what is scurvy disease,answering
what is google openid,answering
who is bj's wholesale club,answering
what is atherosclerotic heart disease,answering
what was the name of the uss john kennedy before,answering
what is the name of the wizard of oz,answering
what were 3 important things that douglas MacArthur did?,answering
what is homebrew for wii,answering
what is santa's wife's name,answering
when was Saddle Creek founded,answering
what is korean money called,answering
what is three phase electrical,answering
What is the significance of Good Friday?,answering
Who is the highest scoring NBA player,answering
where is the great basin located on a us map,answering
what is direct marketing channel,answering
what was the date of pearl harbor,answering
what is disney's magic kingdom,answering
what is the kanji for language,answering
what is in fruitcake,answering
what is the name of the family who own the biltmore estates in nc,answering
who was the congressman who was caught with an escort in ny,answering
where are the kidneys in your body,answering
what is lockton affinity,answering
what is white chocolate made of,answering
what is the latest season of psych,answering
what is the main component of vaccines,answering
what is the name of chris cornell's band?,answering
what is preciosa crystal?,answering
where is the chupacabra found,answering
What is the purpose of North American Free Trade Agreement,answering
who are all of the jonas brothers,answering
what is in the alpine mountain systems,answering
who is mary matalin married to,answering
where is basque spoken,answering
where is the brisket from,answering
what is human chorionic,answering
where is dear john filmed at,answering
what is busiest airport in US,answering
where is osaka japan,answering
what is surname and given name,answering
what is melissa and joey about,answering
What is an economic feature?,answering
what is the average american income,answering
When was Apple Computer founded,answering
what is section eight housing,answering
Hi,talk
Hiya,talk
Hi Sophia!,talk
Hello,talk
Hello Sophia,talk
Helo,talk
Hallo,talk
Halo,talk
Ello,talk
Greetings!,talk
Gretings!,talk
Greatings!,talk
Greeting!,talk
Greet!,talk
What's up?,talk
What is up?,talk
Sup?,talk
Wht’s up?,talk
How is it going?,talk
How’s it going?,talk
"Hi, how is it going?",talk
How is it gaing?,talk
Huw’s it going?,talk
Hw’s it going?,talk
How are you doing?,talk
"Hi, how are you doing?",talk
Huw are you doing?,talk
How are u doing?,talk
How are you doin?,talk
How do you do?,talk
"Hi, how do you do?",talk
Hew do you do?,talk
How do you du?,talk
How do u do?,talk
You alright?,talk
Are you alright?,talk
You aright?,talk
U alright?,talk
How are you?,talk
"Hi, how are you?",talk
How are u?,talk
How r you?,talk
It is a pleasure to meet you.,talk
"Hi, it is a pleasure to meet you.",talk
It is a pleasure to meet u.,talk
It's a plasure to meet you.,talk
Nice to meet you.,talk
"Hi, nice to meet you.",talk
Nice to meet u.,talk
Nice to met you.,talk
Who am I?,talk
Who m I?,talk
Whu am I?,talk
What is my name?,talk
What’s my name?,talk
What is me name?,talk
What is my nam?,talk
What’s me name?,talk
What’s my nme?,talk
Do you know my name?,talk
Do u know my name?,talk
Do you knew my name?,talk
Do you know my nam?,talk
Du you know my name?,talk
Do you know me?,talk
Du you know me?,talk
Do u know me?,talk
Do you know m?,talk
Who are you?,talk
Who re you?,talk
Who are u?,talk
What is your name?,talk
What is you name?,talk
What is your nume?,talk
What’s your name?,talk
What’s your nam?,talk
What shall I call you?,talk
What shal I call you?,talk
What shall I call u?,talk
What should I call you?,talk
What shoul I call you?,talk
Can you tell me your name please?,talk
Can you tell me your name?,talk
Can you tell me you name?,talk
Can u tell me your name?,talk
Can you tell me your nme?,talk
How is the weather?,talk
How’s the weather?,talk
How’s the wether?,talk
How’s th weather?,talk
How’s the weathur?,talk
How is the wether?,talk
How is the weathe?,talk
What is the weather like today?,talk
What is the weather like?,talk
What’s the weather like today?,talk
What’s the weather like?,talk
What is the wether like?,talk
What is the weather lik?,talk
What is the weather like tuday?,talk
What is the weathe like today?,talk
What’s the weathe like?,talk
What’s the wether like?,talk
What’s the weuther like?,talk
What’s th weather like today?,talk
What’s the weathe like today?,talk
What’s the weather like tuday?,talk
Jeremie,identity
Johann,identity
Alice,identity
Mike,identity
Rebecca,identity
My name is Shiqi.,identity
My name’s Jamie.,identity
My name is Housu.,identity
My name’s Aaron.,identity
My name is Lee.,identity
My name's Luka Corliss.,identity
My name is James Wright.,identity
My name is B.,identity
My nume is Xiao Ming.,identity
Me name’s Jeremie.,identity
M name is Lily.,identity
My nam’s Biden.,identity
My nama is John.,identity
My namme's Adofol.,identity
My namee is Joel.,identity
My name s Johann.,identity
I am Andrew.,identity
I’m Zoe.,identity
I’m J.,identity
I am Abel.,identity
I am qi.,identity
I am Sophia.,identity
I am S.,identity
I’ m Johann Green,identity
I um Ming Liu.,identity
Im James Brown.,identity
I’m Abel Xin,identity
I am Daryl.,identity
I em n99.,identity
Im Titus White.,identity
Please call me Mike.,identity
Please call me Sam Smith.,identity
Please cal m William.,identity
Call me K.,identity
Call me Shiqi.,identity
Call me Jamie White.,identity
Call me Jeremy.,identity
Call me Lee.,identity
Call me Tu.,identity
Call ma Ivy,identity
Cal me Tiffany.,identity
Cell me Pamala.,identity
Call me Gail Bai.,identity
Call m aa.,identity
Book a table.,transaction
Reserve a table.,transaction
Book a restaurant table.,transaction
Please book a table for me.,transaction
Please reserve a table for me.,transaction
Please book a seat for me.,transaction
Please reserve a seat for me.,transaction
Please book a table for me for lunch.,transaction
Please book a table for me for dinner.,transaction
Please book a table for me for supper.,transaction
Please help me to book a restaurant table.,transaction
Can you help me to reserve a restaurant table?,transaction
Could you help me to book a restaurant table?,transaction
I would like to make a reservation for lunch.,transaction
I would like to make a reservation for dinner.,transaction
I want to book a lunch.,transaction
I want to book a dinner.,transaction
I want to book a restaurant table.,transaction
I'd like to book a restaurant table.,transaction
I would like to book a restaurant table.,transaction
Transaction,transaction
Transaction dialogue.,transaction
Start a transaction dialogue.,transaction
Please start a transaction dialogue.,transaction
Game,game
Game playing,game
Play a game,game
I want to play a game.,game
I'd like to play a game.,game
I would like to play a game.,game
Start a game.,game
Please start a game.,game
Can you start a game for me?,game
Could you please start a game for me?,game
Could you please help me to start a game?,game
Bye!,quit
Bye-Bye.,quit
Good bye.,quit
See you.,quit
See ya.,quit
See you again.,quit
See you later.,quit
Q,quit
q,quit
qit,quit
qut,quit
Quit,quit
I wanna quit.,quit
I want to quit.,quit
I wat to quit.,quit
I want to qut.,quit
Quit please.,quit
Please quit.,quit
Quit the system.,quit
I gonna quit.,quit
Shut down.,quit
Shutdown,quit
Shut down please.,quit
Exit,quit
Exit please.,quit
I want an exit.,quit
